"Airport/Carrier","Max/Min Devs"
"CO-PDX",-54
"CO-PHL",237
"CO-PHL",-52
"CO-PHX",178
"CO-PHX",-63
"CO-PIT",221
"CO-PIT",-42
"CO-PNS",100
"CO-PNS",-20
"CO-PSE",42
"CO-PSE",-24
"CO-PSP",71
"CO-PSP",-27
"CO-PVD",103
"CO-PVD",-40
"CO-PWM",88
"CO-PWM",-4
"CO-RDU",214
"CO-RDU",-321
"CO-RIC",90
"CO-RIC",-28
"CO-RNO",84
"CO-RNO",-42
"CO-ROC",56
"CO-ROC",-21
"CO-RSW",282
"CO-RSW",-47
"CO-SAN",156
"CO-SAN",-65
"CO-SAT",401
"CO-SAT",-54
"CO-SAV",111
"CO-SAV",-31
"CO-SDF",68
"CO-SDF",-35
"CO-SEA",161
"CO-SEA",-58
"CO-SFO",189
"CO-SFO",-60
"CO-SJC",197
"CO-SJC",-269
"CO-SJU",168
"CO-SJU",-51
"CO-SLC",159
"CO-SLC",-64
"CO-SMF",95
"CO-SMF",-45
"CO-SNA",240
"CO-SNA",-65
"CO-SRQ",166
"CO-SRQ",-53
"CO-STL",162
"CO-STL",-45
"CO-STT",109
"CO-STT",-38
"CO-TPA",275
"CO-TPA",-73
"CO-TUL",161
"CO-TUL",-25
"CO-TUS",161
"CO-TUS",-47
"CO-XNA",47
"CO-XNA",-6
"DH-ABE",186
"DH-ABE",-54
"DH-ACY",58
"DH-ACY",-37
"DH-ALB",179
"DH-ALB",-45
"DH-ATL",136
"DH-ATL",-36
"DH-ATW",240
"DH-ATW",-62
"DH-AUS",78
"DH-AUS",-23
"DH-AVL",83
"DH-AVL",-28
"DH-AVP",160
"DH-AVP",-41
"DH-AZO",112
"DH-AZO",-35
"DH-BDL",1419
"DH-BDL",-38
"DH-BGM",108
"DH-BGM",-31
"DH-BGR",79
"DH-BGR",-30
"DH-BHM",131
"DH-BHM",-46
"DH-BMI",111
"DH-BMI",-25
"DH-BNA",164
"DH-BNA",-78
"DH-BOS",211
"DH-BOS",-140
"DH-BTV",256
"DH-BTV",-80
"DH-BUF",158
"DH-BUF",-38
"DH-BWI",33
"DH-BWI",-24
"DH-CAE",134
"DH-CAE",-64
"DH-CAK",111
"DH-CAK",-40
"DH-CHA",75
"DH-CHA",-25
"DH-CHO",673
"DH-CHO",-32
"DH-CHS",139
"DH-CHS",-50
"DH-CID",105
"DH-CID",-35
"DH-CLE",293
"DH-CLE",-36
"DH-CLT",123
"DH-CLT",-37
"DH-CMH",136
"DH-CMH",-35
"DH-CMI",108
"DH-CMI",-29
"DH-COS",84
"DH-COS",-43
"DH-CRW",147
"DH-CRW",-29
"DH-CVG",1443
"DH-CVG",-70
"DH-DAY",152
"DH-DAY",-36
"DH-DCA",52
"DH-DCA",-25
"DH-DSM",87
"DH-DSM",-27
"DH-DTW",162
"DH-DTW",-32
"DH-ERI",181
"DH-ERI",-36
"DH-EVV",54
"DH-EVV",-27
"DH-EWR",294
"DH-EWR",-80
"DH-FAR",134
"DH-FAR",-46
"DH-FNT",52
"DH-FNT",-25
"DH-FSD",173
"DH-FSD",-26
"DH-FWA",102
"DH-FWA",-34
"DH-GRB",46
"DH-GRB",-27
"DH-GRR",151
"DH-GRR",-23
"DH-GSO",125
"DH-GSO",-36
"DH-GSP",135
"DH-GSP",-67
"DH-HPN",237
"DH-HPN",-111
"DH-HSV",67
"DH-HSV",-70
"DH-IAD",261
"DH-IAD",-82
"DH-ICT",145
"DH-ICT",-63
"DH-IND",153
"DH-IND",-30
"DH-JAX",173
"DH-JAX",-58
"DH-JFK",330
"DH-JFK",-73
"DH-LAN",176
"DH-LAN",-30
"DH-LAS",123
"DH-LAS",-74
"DH-LAX",40
"DH-LAX",-33
"DH-LEX",193
"DH-LEX",-40
"DH-LGA",231
"DH-LGA",-46
"DH-LNK",170
"DH-LNK",-26
"DH-MBS",157
"DH-MBS",-166
"DH-MCO",187
"DH-MCO",-27
"DH-MDT",192
"DH-MDT",-61
